channel,class_name,shape_kind,side,a,b,c,d,plateau_width,shape_type,max_membership_degree,transition_width_source
output,Degraded,monotonic_right_shoulder,,49.0,51.0,74.0,76.0,23.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
output,Critical,monotonic_right_shoulder,,74.0,76.0,inf,inf,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
relative_humidity,Favourable,two_sided,single_band,28.5,31.5,48.5,51.5,17.0,trapezoidal,1.0,ctx.static_shapes (real effective config)
relative_humidity,Acceptable,two_sided,low,23.5,26.5,28.5,31.5,2.0,trapezoidal,1.0,ctx.static_shapes (real effective config)
relative_humidity,Acceptable,two_sided,high,48.5,51.5,58.5,61.5,7.0,trapezoidal,1.0,ctx.static_shapes (real effective config)
relative_humidity,Degraded,two_sided,low,18.5,21.5,23.5,26.5,2.0,trapezoidal,1.0,ctx.static_shapes (real effective config)
relative_humidity,Degraded,two_sided,high,58.5,61.5,68.5,71.5,7.0,trapezoidal,1.0,ctx.static_shapes (real effective config)
relative_humidity,Critical,two_sided,low,-inf,-inf,18.5,21.5,,shoulder,1.0,ctx.static_shapes (real effective config)
relative_humidity,Critical,two_sided,high,68.5,71.5,inf,inf,,shoulder,1.0,ctx.static_shapes (real effective config)
temperature[kitchen/cold_period],Favourable,two_sided,single_band,17.75,18.25,20.75,21.25,2.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[kitchen/cold_period],Acceptable,two_sided,low,16.25,16.75,17.75,18.25,1.0,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[kitchen/cold_period],Acceptable,two_sided,high,20.75,21.25,22.25,22.75,1.0,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[kitchen/cold_period],Degraded,two_sided,low,15.25,15.75,16.25,16.75,0.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[kitchen/cold_period],Degraded,two_sided,high,22.25,22.75,23.25,23.75,0.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[kitchen/cold_period],Critical,two_sided,low,-inf,-inf,15.25,15.75,,shoulder,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[kitchen/cold_period],Critical,two_sided,high,23.25,23.75,inf,inf,,shoulder,1.0,ctx.temperature_shapes_by_profile[kitchen/cold_period] (real effective config)
temperature[general_residential/warm_period],Favourable,two_sided,single_band,23.25,23.75,25.25,25.75,1.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[general_residential/warm_period],Acceptable,two_sided,low,22.75,23.25,23.25,23.75,0.0,triangular,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[general_residential/warm_period],Acceptable,two_sided,high,25.25,25.75,25.75,26.25,0.0,triangular,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[general_residential/warm_period],Degraded,two_sided,low,21.75,22.25,22.75,23.25,0.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[general_residential/warm_period],Degraded,two_sided,high,25.75,26.25,26.75,27.25,0.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[general_residential/warm_period],Critical,two_sided,low,-inf,-inf,21.75,22.25,,shoulder,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[general_residential/warm_period],Critical,two_sided,high,26.75,27.25,inf,inf,,shoulder,1.0,ctx.temperature_shapes_by_profile[general_residential/warm_period] (real effective config)
temperature[kitchen/warm_period],Favourable,two_sided,single_band,20.75,21.25,25.25,25.75,4.0,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
temperature[kitchen/warm_period],Acceptable,two_sided,low,19.75,20.25,20.75,21.25,0.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
temperature[kitchen/warm_period],Acceptable,two_sided,high,25.25,25.75,25.75,26.25,0.0,triangular,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
temperature[kitchen/warm_period],Degraded,two_sided,low,17.75,18.25,19.75,20.25,1.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
temperature[kitchen/warm_period],Degraded,two_sided,high,25.75,26.25,26.75,27.25,0.5,trapezoidal,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
temperature[kitchen/warm_period],Critical,two_sided,low,-inf,-inf,17.75,18.25,,shoulder,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
temperature[kitchen/warm_period],Critical,two_sided,high,26.75,27.25,inf,inf,,shoulder,1.0,ctx.temperature_shapes_by_profile[kitchen/warm_period] (real effective config)
