panel,component,channel,boundary_id,context,boundary_value,boundary_unit,grid_point,input_value,distance_from_boundary,method,integrated_index,output_class
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,5,758.0,-42.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,6,765.0,-35.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,7,772.0,-28.0,PROPOSED-HFIS,15.05927579365079,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,8,779.0,-21.0,PROPOSED-HFIS,17.635548131650584,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,9,786.0,-14.0,PROPOSED-HFIS,20.17871262663702,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,10,793.0,-7.0,PROPOSED-HFIS,22.694444444444443,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,11,800.0,0.0,PROPOSED-HFIS,25.188271604938272,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,12,807.0,7.0,PROPOSED-HFIS,27.66003460207613,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,13,814.0,14.0,PROPOSED-HFIS,30.12175043327556,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,14,821.0,21.0,PROPOSED-HFIS,32.578741623231565,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,15,828.0,28.0,PROPOSED-HFIS,35.03635458167331,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,16,835.0,35.0,PROPOSED-HFIS,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,17,842.0,42.0,PROPOSED-HFIS,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,18,849.0,49.0,PROPOSED-HFIS,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,19,856.0,56.0,PROPOSED-HFIS,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,20,863.0,63.0,PROPOSED-HFIS,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,21,870.0,70.0,PROPOSED-HFIS,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,1,730.0,-70.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,2,737.0,-63.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,3,744.0,-56.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,4,751.0,-49.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,5,758.0,-42.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,6,765.0,-35.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,7,772.0,-28.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,8,779.0,-21.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,9,786.0,-14.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,10,793.0,-7.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,11,800.0,0.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,12,807.0,7.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,13,814.0,14.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,14,821.0,21.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,15,828.0,28.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,16,835.0,35.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,17,842.0,42.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,18,849.0,49.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,19,856.0,56.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,20,863.0,63.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,21,870.0,70.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,1,27.0,-3.0,PROPOSED-HFIS,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,2,27.3,-2.6999999999999993,PROPOSED-HFIS,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,3,27.6,-2.3999999999999986,PROPOSED-HFIS,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,4,27.9,-2.1000000000000014,PROPOSED-HFIS,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,5,28.2,-1.8000000000000007,PROPOSED-HFIS,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,6,28.5,-1.5,PROPOSED-HFIS,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,7,28.8,-1.1999999999999993,PROPOSED-HFIS,35.03635458167331,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,8,29.1,-0.8999999999999986,PROPOSED-HFIS,32.57874162323156,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,9,29.4,-0.6000000000000014,PROPOSED-HFIS,30.121750433275576,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,10,29.7,-0.3000000000000007,PROPOSED-HFIS,27.660034602076127,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,11,30.0,0.0,PROPOSED-HFIS,25.188271604938272,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,12,30.3,0.3000000000000007,PROPOSED-HFIS,22.694444444444436,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,13,30.6,0.6000000000000014,PROPOSED-HFIS,20.178712626637008,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,14,30.9,0.8999999999999986,PROPOSED-HFIS,17.63554813165059,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,15,31.2,1.1999999999999993,PROPOSED-HFIS,15.059275793650798,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,16,31.5,1.5,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,17,31.8,1.8000000000000007,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,18,32.1,2.1000000000000014,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,19,32.4,2.3999999999999986,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,20,32.7,2.700000000000003,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,21,33.0,3.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,1,27.0,-3.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,2,27.3,-2.6999999999999993,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,3,27.6,-2.3999999999999986,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,4,27.9,-2.1000000000000014,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,5,28.2,-1.8000000000000007,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,6,28.5,-1.5,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,7,28.8,-1.1999999999999993,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,8,29.1,-0.8999999999999986,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,9,29.4,-0.6000000000000014,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,10,29.7,-0.3000000000000007,CRISP-CLASS-MAX,37.5,ACCEPTABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,11,30.0,0.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,12,30.3,0.3000000000000007,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,13,30.6,0.6000000000000014,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,14,30.9,0.8999999999999986,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,15,31.2,1.1999999999999993,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,16,31.5,1.5,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,17,31.8,1.8000000000000007,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,18,32.1,2.1000000000000014,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,19,32.4,2.3999999999999986,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,20,32.7,2.700000000000003,CRISP-CLASS-MAX,12.5,FAVOURABLE
c,Microclimate,humidity,humidity_favorable_low_edge_all_seasons,favourable,30.0,%,21,33.0,3.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
